screenshot,workflow,source_data,private_data_check,ui_match,manual_section,status,notes
streamlit_01_home.png,"landing state: data source, bundled sample",none (landing),"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,01_introduction_installation_interface_data: 15. Browser layout,OK,
streamlit_02_data_loaded_bar.png,bar plot example rendered with sidebar controls,bundled example: barplot_with_error_bar,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,MakeMyFigure_Quick_Start: 3. Open the app,OK,
streamlit_04_publication_controls.png,Publication style expanders opened,bundled example: barplot_with_error_bar,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,04_publication_colour_annotations_presets_plotspec_builder: 42. Shared controls,OK,
streamlit_05_statistics.png,Statistical tests & annotations expander,bundled example: barplot_with_error_bar,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,02_mapping_recommendations_matrix_preprocessing_statistics: 37. Where statistics live,OK,
streamlit_06_matrix_workflow.png,guided Matrix workflow entry,none (workflow entry),"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,02_mapping_recommendations_matrix_preprocessing_statistics: 27. Opening it,OK,
streamlit_07_define_groups.png,Define groups expander (wide matrix assignment),bundled example: heatmap_clustered_matrix,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,01_introduction_installation_interface_data: 20. In-app grouping without a metadata file,OK,
streamlit_09_recommended_figures.png,Recommended figures expander for a matrix,bundled example: heatmap_clustered_matrix,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,02_mapping_recommendations_matrix_preprocessing_statistics: 24. What the engine does,OK,
streamlit_10_volcano_editor.png,volcano example with the Label points expander,bundled example: volcano_plot,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,04_publication_colour_annotations_presets_plotspec_builder: 49. Label points (browser),OK,
streamlit_11_figure_preset.png,Figure preset expander: apply / save / import / export,bundled example: barplot_with_error_bar,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,04_publication_colour_annotations_presets_plotspec_builder: 56. Applying,OK,
streamlit_16_export.png,scatter example; Export section with PNG/SVG/PDF downloads at the bottom,bundled example: scatterplot_with_regression,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,05_export_multisheet_de_performance_platforms_troubleshooting_reference: 70. Formats,OK,
streamlit_17_multi_sheet_workbook.png,workbook browser: worksheet chooser + classification,bundled workbook: examples/Make_My_Figure_All_Example_Data.xlsx,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,MakeMyFigure_Quick_Start: 4. Load data | 05_export_multisheet_de_performance_platforms_troubleshooting_reference: 72. Workflow,OK,
