property,supported,global_or_plot_specific,preset_serialized,preview_supported,renderer_support,limitations,code_location,test_location
"heatmap clustering settings (scale, distance_metric, linkage_method, cluster_k_*, max_features)",yes,plot-specific,full mode only (config scope),no (re-render after apply only),"heatmap, hierarchical_clustering",Deliberately excluded from style presets,"make_my_figure_core/ui_hints.py:135-143, make_my_figure_core/ui_hints.py:154",tests/test_figure_presets.py:67-77
volcano color_up / color_down / color_ns,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),volcano (MA: color_ns only),Choice list of 13 hex colours; no free colour picker,"make_my_figure_core/ui_hints.py:164-166, make_my_figure_core/ui_hints.py:306; make_my_figure_core/plots/volcano.py:180-182",none found
volcano show_legend / annotate / show_arrows / label_box,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),volcano,,"make_my_figure_core/ui_hints.py:163, make_my_figure_core/ui_hints.py:171, make_my_figure_core/ui_hints.py:178-179; make_my_figure_core/plots/volcano.py:119-133, 348",tests/test_figure_presets.py:223-231
volcano/MA duplicate_label_policy / representative_rule / show_count,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),"volcano, ma_plot",,"make_my_figure_core/ui_hints.py:181-185, make_my_figure_core/ui_hints.py:311-315",none found
volcano lfc_cutoff / p_cutoff / use_fdr / label_mode / top_n,yes,plot-specific,full mode only (config scope),no (re-render after apply only),volcano,Thresholds never enter a style preset,make_my_figure_core/ui_hints.py:167-177,"tests/test_figure_presets.py:67-77, tests/test_figure_presets.py:223-231"
volcano threshold guide line style (colour/width/dash),no,plot-specific,no,no (re-render after apply only),"volcano hard-codes ls='--', color='0.5'",Not exposed as an option or token,make_my_figure_core/plots/volcano.py:193-195,none
box/violin kind / points / point_size,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),box_violin,Median line hard-coded black,"make_my_figure_core/ui_hints.py:201-203; make_my_figure_core/plots/box_violin.py:28-29, 60","tests/test_figure_presets.py:80-86, tests/test_figure_presets.py:209-220"
bar/grouped-bar error (sem | sd | ci95 | none),yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),"barplot, grouped_barplot, lineplot (band)","Statistical summary choice is classified as style, so a preset can change the error definition","make_my_figure_core/ui_hints.py:124-126, make_my_figure_core/ui_hints.py:206","tests/test_streamlit_presets.py:50, 65, 87"
histogram draw_style / normalize / panel_mode / cumulative / bar_alpha / log_y / share_axes,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),histogram,normalize and log_y change the y-axis meaning yet are style-scoped,make_my_figure_core/ui_hints.py:219-237,tests/test_figure_presets.py:80-86
ridge density_mode / overlap,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),ridge,,make_my_figure_core/ui_hints.py:208-209,none found
kaplan_meier y_scale / reference_line / curve_style / y_ticks,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),survival,curve_style='line' only for precomputed input; censor marks not styleable,"make_my_figure_core/ui_hints.py:254-262; make_my_figure_core/plots/survival.py:176, 294-325",none found
forest reference / log_scale,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),forest,"Marker 's' size 4, edge black and capsize 2.5 hard-coded","make_my_figure_core/ui_hints.py:285-286; make_my_figure_core/plots/forest.py:30-31, 52-55",tests/test_figure_presets.py:80-86
lollipop show_labels / legend_loc / marker_scale / y_margin / label_font_size,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),lollipop,,make_my_figure_core/ui_hints.py:276-281,none found
network layout / node_color / node_cmap / node_size / edge_color(+/-) / edge_width / node_labels / label_color / label_font_size / show_legend,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),network_graph,Axes-free: tick/label-pad/marker/line tokens ignored with a warning,make_my_figure_core/ui_hints.py:358-381; make_my_figure_core/plots/network_graph.py:224-313; make_my_figure_core/styles/capabilities.py:169-177,tests/test_style_capabilities_network.py
