"publisher","journal","requirement","value","source_URL","access_date","mandatory_or_recommendation"
"Nature Portfolio (Springer Nature)","Nature-branded research journals (Nature Methods etc.)","figure width, double column (NRJ artwork PDF)","180 mm (2-column width)","https://www.nature.com/documents/NRJs-guide-to-preparing-final-artwork.pdf (local copy /tmp/nrj_artwork.pdf; PDF dated 2021-01)","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature-branded research journals (Nature Methods etc.)","figure widths, all other content (NRJ artwork PDF)","1-column 58 mm; 2-column 121 mm; 3-column 185 mm","https://www.nature.com/documents/NRJs-guide-to-preparing-final-artwork.pdf (local copy /tmp/nrj_artwork.pdf; PDF dated 2021-01)","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","font family","Standard fonts (e.g. Arial or Helvetica) to be used [listed under 'We require']; All text should be a sans-serif typeface, preferably Helvetica or Arial","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","font family (final submission page)","Lettering should be in a sans-serif typeface, preferably Helvetica or Arial, the same font throughout all figures in the paper","https://www.nature.com/nature/for-authors/final-submission","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","font for Greek characters","Use Symbol font for glyphs and the Greek alphabet","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","font for sequences","Amino acid sequences should be presented in one-letter code in Courier font (or other monospaced) in lines of 50 or 100 characters","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","minimum font size","5 pt (Legible text (a minimum of 5 pt in size) listed under 'We require'; Minimum text size: 5 pt)","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","maximum font size","7 pt (Maximum text size: 7 pt)","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","recommended font size range","ensuring all fonts are between 5pt and 7pt; At this size [90/180 mm], the font size should be 5-7pt","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/ ; https://www.nature.com/nature/for-authors/initial-submission","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","panel label style","Separate panels in multi-panelled figures should be labelled with 8-pt bold, upright (not italic) and lowercase a, b, c, etc.","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","panel arrangement","panels in an alphabetical order wherever possible; minimizing white space","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","axis lettering case","Lettering in figures (labelling of axes and so on) should be in lower-case type, with the first letter capitalized and no full stop","https://www.nature.com/nature/for-authors/formatting-guide","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","axes","Axis lines and tick marks to be included; All axes to be labelled with units in parentheses, e.g. Data (unit) [under 'We require']","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","line width minimum / range","Line weights and strokes should be set between 0.25 and 1 pt at the final size (lines thinner than 0.25 pt may vanish in print)","https://www.nature.com/nature/for-authors/final-submission","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature (Extended Data)","line width range","Lines and strokes should be set between 0.25 and 1 pt","https://research-figure-guide.nature.com/figures/extended-data-formatting-guidelines/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","resolution, photographic/raster images (minimum)","All photographic images must be supplied at a minimum of 300 dpi","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","resolution, photographic/raster images (recommended)","The maximum dpi of online proofs is 450 dpi; supplying images at 450 dpi or above ensures they will have the highest resolution possible; Exporting: For images, minimum 450 dpi","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","resolution, photographic images (final submission page)","Layered Photoshop (PSD) or TIFF format (high resolution, 300–600 dots per inch (dpi) for photographic images; All photographic images must be supplied at a minimum of 300 dpi at the maximum size they can be used","https://www.nature.com/nature/for-authors/final-submission","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","resolution, line art / graphs","not specified as dpi; must be vector: export figure panels as vector artwork; Do not rasterize line art or text","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/ ; https://www.nature.com/nature/for-authors/final-submission","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","upsampling","Artificially increasing an image’s resolution in an artwork program will not improve its quality","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","colour mode","We recommend supplying your artwork in the RGB colour spectrum; Colour artwork can be provided in RGB (recommended) or CMYK format; print artwork will be automatically converted to CMYK","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/ ; https://www.nature.com/nature/for-authors/final-submission","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature (initial submission)","colour mode","Provide images in RGB color and at 300 dpi or higher resolution","https://www.nature.com/nature/for-authors/initial-submission","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature-branded research journals","colour mode (NRJ artwork PDF)","Original research content should be supplied in RGB colour mode. All other content (including Perspectives, Progress Articles and Review Articles) should be supplied in CMYK colour mode","https://www.nature.com/documents/NRJs-guide-to-preparing-final-artwork.pdf (local copy /tmp/nrj_artwork.pdf; PDF dated 2021-01)","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","accessibility / colour-blind","An accessible colour palette to be used (for example Wong, B. Points of view: Colour blindness. Nature Methods 8, 441 (2011).) [under 'We require']; Nature.com adheres to level AA of WCAG 2.1 wherever possible","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","accessibility / colour-blind (guidance)","Avoiding red/green combinations and rainbow scales helps readers with colour blindness; Keys or keylines should be used in the figure wherever possible, rather than having colour descriptions in the figure caption; example palette Black #000000, Orange #e69f00, Sky blue #56b4e9, Bluish green #009e73, Yellow #f0e442, Blue #0072b2, Vermillion #d55e00, Redish purple #cc79a7","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature (initial submission)","accessibility / colour-blind","Use distinct colors with comparable visibility and avoid the use of red and green for contrast. Recoloring primary data, such as fluorescence images, to color-safe combinations such as green and magenta or other accessible color palettes is strongly encouraged. Use of the rainbow color scale should be avoided","https://www.nature.com/nature/for-authors/initial-submission","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","coloured text / contrast","Avoid coloured text; High contrast text (>4.5 contrast ratio) should be used; Black or white text on a high-contrast background should be used wherever possible","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/ ; https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","avoid (chart junk)","We avoid: Background gridlines; Superfluous icons and other decorative elements; Drop shadows; Patterns; Text placed on top of busy images; Overlapping text; Coloured text","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","accepted file formats, main figures (preferred)","For main figures we require vector files with editable layers. Preferred: .ai, .eps, .pdf (please choose to retain all editing capabilities)","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","accepted file formats, main figures (acceptable)","Layered Photoshop files; Powerpoint (save .ppt to .pdf first); .svg (plain svg); Excel; .ps (postscript)","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","file formats not accepted, main figures","We do not accept the following formats: .jpeg, .tiff, .png, Canvas, DeltaGraph, Tex, ChemDraw, SigmaPlot, Coreldraw","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","file formats (initial submission page wording)",".ai, .eps, .pdf, .ps, .svg for fully editable vector-based art; layered .psd or .tif for editable layered art; .psd, .tif, .png or .jpg for bitmap images; .ppt if fully editable and without styling effects; ChemDraw (.cdx) for chemical structures","https://www.nature.com/nature/for-authors/initial-submission","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","file size, main figures","Please limit file sizes to 50 MB where possible and ensure that all components are embedded (not linked) in the file","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","text editability / font embedding","For figures to be accepted all text needs to be legible and editable; Do not outline text; Embed fonts (True Type 2 or 42); Matplotlib.rcParams['pdf.fonttype']=42","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature","legends / keys inside figures","Where possible, text, including keys to symbols, should be provided in the legend rather than on the figure itself","https://www.nature.com/nature/for-authors/formatting-guide","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","legends / keys inside figures (accessibility guide)","Keys or keylines should be used in the figure wherever possible, rather than having colour descriptions in the figure caption; Avoid: Coloured text in figure legends. Recommended: Coloured boxes combined with black text","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","figure legend length","Legends should be fewer than 300 words each; Each figure legend should begin with a brief title for the whole figure and continue with a short description of each panel","https://www.nature.com/nature/for-authors/formatting-guide","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","scale bars","Scale bars should be used rather than magnification factors; do not flatten the scale into the image; keep on separate editable layer","https://research-figure-guide.nature.com/figures/preparing-figures-our-specifications/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","reversed / overlaid type","Layering type directly over shaded or textured areas and using reversed type (white lettering on a coloured background) should be avoided where possible","https://www.nature.com/nature/for-authors/formatting-guide","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature (Extended Data)","maximum page dimensions","Maximum page dimensions are 180 mm wide by 170 mm tall (170 mm to fit a legend underneath)","https://research-figure-guide.nature.com/figures/extended-data-formatting-guidelines/","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature (Extended Data)","font sizes","Text should be maximum of 7 pt, minimum of 5 pt sans serif; tables: please use 7-pt text","https://research-figure-guide.nature.com/figures/extended-data-formatting-guidelines/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature (Extended Data)","resolution","Images should be supplied at a maximum resolution of 300 dpi","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature (Extended Data)","colour mode","Files should be saved in RGB (not CMYK) for maximum colour saturation and smaller file sizes","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature (Extended Data)","accepted file formats","Export and save each individual figure as a .jpeg (preferred), .tiff or .eps (other file formats are not acceptable for Extended Data files); File size should not exceed 10 MB","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature (Extended Data)","table widths","Tables can be set at one-column (8.9 cm) or two-column (18 cm) width","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature Methods","resolution (all figure panels, AIP)","Figure panels should be prepared at a minimum resolution of 300 dpi","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature Methods","maximum figure width","saved at a maximum width of 180 mm","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature Methods","font family and size","Use a 5–7 pt san serif font for standard text labelling and Symbol font for Greek characters","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature Methods","minimum font size","5 pt (from 5–7 pt range)","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature Methods","maximum font size","7 pt (from 5–7 pt range)","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature Methods","scale/error bars","Use scale bars, not magnification factors, and include error bars where appropriate; Do not flatten labelling or scale/error bars onto images","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature Methods","figure preparation guide reference","image preparation guidelines = NRJs-guide-to-preparing-final-artwork.pdf (see Nature-branded research journals rows)","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature Methods","figure legend","Include a brief title for each figure with a short description of each panel cited in sequence; Ensure the legend does not exceed the word limit of the article type","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature Methods","Extended Data figures","A maximum of 10 Extended Data display figures is permitted; should be sized such that they will fit on a single PDF page","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature Methods","panel label style","not specified on Nature Methods page (see Nature-branded research journals / research-figure-guide: 8-pt bold lowercase a, b, c)","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting","2026-09-16","not specified"
"Nature Portfolio (Springer Nature)","Nature Methods","line width","not specified on Nature Methods page (Nature research-figure-guide: 0.25–1 pt)","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting","2026-09-16","not specified"
"Nature Portfolio (Springer Nature)","Nature Methods","colour mode","not specified on Nature Methods page (NRJ artwork PDF: RGB for original research content)","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting","2026-09-16","not specified"
"Nature Portfolio (Springer Nature)","Nature Methods","accepted file formats","not specified on Nature Methods page (NRJ artwork PDF: vector AI, EPS, PDF; bitmap 300 dpi; PPT accepted if fully editable; not BMP, GIF, GIMP, JPG, PNG, Tex, TIFF for vector art)","https://www.nature.com/nmeth/submission-guidelines/aip-and-formatting ; https://www.nature.com/documents/NRJs-guide-to-preparing-final-artwork.pdf (local copy /tmp/nrj_artwork.pdf; PDF dated 2021-01)","2026-09-16","not specified"
"Nature Portfolio (Springer Nature)","Nature-branded research journals","accepted file formats (NRJ artwork PDF)","Vector files: AI, EPS, PDF; We recommend: AI, EPS, PDF, PPT; We do not accept: BMP, GIF, GIMP, JPG, PNG, Tex, TIFF [for compiled/vector figures]; Photoshop PSD, TIFF or EPS will work provided all text remains fully editable in type layers","https://www.nature.com/documents/NRJs-guide-to-preparing-final-artwork.pdf (local copy /tmp/nrj_artwork.pdf; PDF dated 2021-01)","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature-branded research journals","resolution, bitmap (NRJ artwork PDF)","All photos and complex technical illustrations, e.g. 3D-rendered graphics, should be directly saved/scanned in at least 300 dpi resolution at the maximum size that they could be used","https://www.nature.com/documents/NRJs-guide-to-preparing-final-artwork.pdf (local copy /tmp/nrj_artwork.pdf; PDF dated 2021-01)","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature-branded research journals","font (NRJ artwork PDF)","All text should be sans-serif typeface, preferably Helvetica or Arial. Maximum text size is 7pt. Minimum text size is 5pt","https://www.nature.com/documents/NRJs-guide-to-preparing-final-artwork.pdf (local copy /tmp/nrj_artwork.pdf; PDF dated 2021-01)","2026-09-16","mandatory"
"Nature Portfolio (Springer Nature)","Nature-branded research journals","file size (NRJ artwork PDF)","Try to keep each final figure to a maximum of 50 MB file size","https://www.nature.com/documents/NRJs-guide-to-preparing-final-artwork.pdf (local copy /tmp/nrj_artwork.pdf; PDF dated 2021-01)","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature-branded research journals","graphical effects (NRJ artwork PDF)","Do not add graphical effects (e.g. drop shadow, 3D rotate and bevel) to objects, as these are exported as low resolution bitmaps","https://www.nature.com/documents/NRJs-guide-to-preparing-final-artwork.pdf (local copy /tmp/nrj_artwork.pdf; PDF dated 2021-01)","2026-09-16","mandatory"
"AAAS (Science family)","Science","figure width, 1 column","5.7 cm (2.24 inches or 1 column)","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","figure width, 2 columns","12.1 cm (4.76 inches or 2 columns)","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","figure width, 3 columns (full page)","18.4 cm (7.24 inches or 3 columns)","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","figure widths (revised manuscript page, same values)","5.7 cm (2.24 inches or 1 column) or 12.1 cm (4.76 inches or 2 columns), or 18.4 cm (7.24 inches or 3 columns)","https://web.archive.org/web/20250330182956/https://www.science.org/content/page/instructions-preparing-revised-manuscript (live page 403; Wayback capture 2025-03-30)","2026-09-16","recommendation"
"AAAS (Science family)","Science","maximum figure height","not specified","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","not specified"
"AAAS (Science family)","Science","font family","Use a sans-serif font whenever possible (Helvetica is preferred)","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","font family, manuscript text (not figures)","For best results, use Times New Roman font. Avoid Symbol fonts if possible","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","recommended font size (after reduction)","a reduced size of about 7 points (2.5 mm) high","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","minimum font size (after reduction)","not smaller than 5 points","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","font size variation","Avoid wide variation in type size within a single figure","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","symbol size minimum","Size symbols so that they will be distinguishable when the figure is reduced (6 point minimum)","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","line width minimum","Line widths should be legible upon reduction (minimum of 0.5 point at the final reduced size)","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","resolution, initial submission","please save images at a resolution of 300 dots per inch (dpi) for initial submission","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","resolution, revised: line art (non-vector)","Line art that is not available as a vector file should have a resolution of at least 300 dots per inch (dpi), preferably higher, at final size","https://web.archive.org/web/20250330182956/https://www.science.org/content/page/instructions-preparing-revised-manuscript (live page 403; Wayback capture 2025-03-30)","2026-09-16","mandatory"
"AAAS (Science family)","Science","resolution, revised: grayscale and colour images","Grayscale and color images should have a minimum resolution of 300 dpi at final size, and a higher resolution if possible","https://web.archive.org/web/20250330182956/https://www.science.org/content/page/instructions-preparing-revised-manuscript (live page 403; Wayback capture 2025-03-30)","2026-09-16","mandatory"
"AAAS (Science family)","Science","upsampling","Upsampling of images (i.e., artificially increasing file size or resolution) is not permitted","https://web.archive.org/web/20250330182956/https://www.science.org/content/page/instructions-preparing-revised-manuscript (live page 403; Wayback capture 2025-03-30)","2026-09-16","mandatory"
"AAAS (Science family)","Science","colour mode","not specified on Science pages (Science Advances page: RGB not CMYK)","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10) ; https://web.archive.org/web/20250330182956/https://www.science.org/content/page/instructions-preparing-revised-manuscript (live page 403; Wayback capture 2025-03-30)","2026-09-16","not specified"
"AAAS (Science family)","Science","accessibility / colour-blind","Avoid using red and green together, as this creates problems for individuals with color-deficient vision; Do not use colors that are similar in hue to identify different parts of a figure; Avoid using grayscale","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","coloured type / type over colour","In a color figure, type atop a color region should be in bold face. Avoid using colored type; Use white type and scale bars over darker areas of images","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","accepted file formats, revised (preferred order)","Vector illustrations and diagrams (preferred): PDF, EPS, or AI; Raster illustrations and diagrams: TIFF, minimum 300 dpi; Vector and raster combinations for photographs or microscopy images: PDF or EPS; Raster photographs or microscopy images: TIFF","https://web.archive.org/web/20250330182956/https://www.science.org/content/page/instructions-preparing-revised-manuscript (live page 403; Wayback capture 2025-03-30)","2026-09-16","mandatory"
"AAAS (Science family)","Science","file formats not accepted","We cannot accept PowerPoint files or files that are not readable by Adobe Photoshop or Adobe Illustrator (initial); we cannot accept: Figures embedded in Microsoft Word files; Microsoft PowerPoint files (revised)","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10) ; https://web.archive.org/web/20250330182956/https://www.science.org/content/page/instructions-preparing-revised-manuscript (live page 403; Wayback capture 2025-03-30)","2026-09-16","mandatory"
"AAAS (Science family)","Science","vector preference","It is best to create your figures as vector-based files, such as those produced by Adobe Illustrator","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","panel label style","Use capital letters for part labels in multipart figures – A, B, C, etc. These should be 10 pt and bold in the final figure. When possible, place part labels in the upper left corner of each figure part; if a part is an image, set labels inside the perimeter","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","subpart labels","Avoid subpart labels within a figure part... If unavoidable, use lowercase letters (a, b, c), prime symbols, or lowercase Roman numerals (i, ii, iii). Use numbers (1, 2, 3) only to represent a time sequence of images","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","axis label case","Capitalize only the first letter in a label, not every word (however, proper nouns should always be capitalized)","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","axis labels / units","Label graphs on the ordinate and abscissa with the parameter or variable being measured, the units of measure in parentheses, and the scale. Scales with large or small numbers should be presented as powers of 10; Units should be metric and follow SI convention","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","variables typography","Variables are always set in italics or as plain Greek letters (e.g., P, T, μ). The rest of the text in the figure should be plain or bold text","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","gridlines / ticks","Do not use minor tick marks in scales or grid lines. Avoid using y-axis labels on the right that repeat those on the left; Scales or axes should not extend beyond the range of the data plotted","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","legends / keys inside figures","The figure’s title should be at the beginning of the figure caption, not in the figure itself. In general, explanatory text within the figure should be minimized relative to the text in the caption; Keys to symbols, if needed, should be as simple as possible and positioned so that they do not needlessly enlarge the figure. Details can be put into the captions","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
