plot_id,display_name,plot_family,required_columns,optional_columns,recommended_input_shape,compatible_statistics,transformations,annotations,preset_support,Figure_Package_support,example_dataset,existing_manual_section,tutorial_status,video_status
kaplan_meier_survival_curve,Kaplan-Meier survival curve,07_Survival_and_Effect_Plots,time; event; group,survival_columns,"one row per subject: time, event (0/1), group",Log-rank test; Cox proportional-hazards (HR),,input_form; y_scale; reference_line; curve_style; y_ticks; x_min; x_max,yes,yes,examples/by_plot_type/kaplan_meier/data.csv,Kaplan-Meier survival curve,WRITTEN,SCRIPT
stacked_bar_composition,Stacked composition bar plot,02_Basic_Plots,x; stack; y; facet_or_sort_by,,long table: one row per observation,Chi-square test; Fisher's exact test,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),x_tick_rotation,yes,yes,examples/by_plot_type/stacked/data.csv,Stacked composition bar plot,MISSING,MISSING
waterfall_plot,Waterfall plot,02_Basic_Plots,x; y; color,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),sort,yes,yes,examples/by_plot_type/waterfall/data.csv,Waterfall plot,MISSING,MISSING
pca_scatter_from_matrix,PCA scatter (matrix + metadata),05_Matrix_and_Omics,matrix_row_id,,feature x sample matrix (one id column + numeric value columns),,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),,yes,yes,examples/by_plot_type/pca/data.csv,PCA scatter (matrix + metadata),MISSING,MISSING
oncoprint_mutation_heatmap,Oncoprint mutation heatmap,08_Advanced_Plots,sample; row; fill,,long table: one row per observation,Chi-square test; Fisher's exact test,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),order; show_sample_labels,yes,yes,examples/by_plot_type/oncoprint/data.csv,Oncoprint mutation heatmap,MISSING,MISSING
lollipop_mutation_plot,Lollipop mutation plot,08_Advanced_Plots,x; y; color; label,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),show_labels; label_top_n; legend_loc; marker_scale; y_margin; label_font_size,yes,yes,examples/by_plot_type/lollipop/data.csv,Lollipop mutation plot,MISSING,MISSING
roc_curve,ROC curve,04_Relationships_and_Regression,label; score; score2,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),,yes,yes,examples/by_plot_type/roc/data.csv,ROC curve,MISSING,MISSING
forest_plot,Forest plot,07_Survival_and_Effect_Plots,label; estimate; lower; upper,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),reference; log_scale,yes,yes,examples/by_plot_type/forest/data.csv,Forest plot,MISSING,MISSING
dot_strip_plot,Dot / strip plot,03_Group_Comparisons,x; y,color,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),summary; jitter; x_tick_rotation,yes,yes,examples/by_plot_type/dot_strip/data.csv,Dot / strip plot,MISSING,MISSING
beeswarm_plot,Beeswarm plot,03_Group_Comparisons,x; y,color,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),summary; x_tick_rotation,yes,yes,examples/by_plot_type/beeswarm/data.csv,Beeswarm plot,MISSING,MISSING
paired_slopegraph,Paired dot plot / slopegraph,03_Group_Comparisons,subject; condition; value,color,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),point_color; line_color; point_size; line_width; line_alpha,yes,yes,examples/by_plot_type/paired_slope/data.csv,Paired dot plot / slopegraph,MISSING,MISSING
raincloud_plot,Raincloud plot,03_Group_Comparisons,x; y,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),x_tick_rotation,yes,yes,examples/by_plot_type/raincloud/data.csv,Raincloud plot,MISSING,MISSING
hierarchical_dendrogram,Hierarchical clustering dendrogram,05_Matrix_and_Omics,row_id,,feature x sample matrix (one id column + numeric value columns),,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),method; cluster; orientation,yes,yes,examples/by_plot_type/dendrogram/data.csv,Hierarchical clustering dendrogram,MISSING,MISSING
ma_plot,MA plot (differential expression),05_Matrix_and_Omics,x; y; p; label,id_col,one row per feature with effect size and p-value,,,color_ns; p_cutoff; lfc_cutoff; label_top_n; duplicate_label_policy; duplicate_label_representative_rule; duplicate_label_show_count,yes,yes,examples/by_plot_type/ma_plot/data.csv,MA plot (differential expression),MISSING,MISSING
manhattan_plot,Manhattan plot (GWAS),05_Matrix_and_Omics,chrom; pos; p; snp,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),x_tick_rotation; show_cutoff_line; genome_wide_threshold; cutoff_line_color; cutoff_line_style; cutoff_line_width; show_suggestive_line,yes,yes,examples/by_plot_type/manhattan/data.csv,Manhattan plot (GWAS),MISSING,MISSING
qq_plot,Q-Q plot (p-value / quantile),05_Matrix_and_Omics,p,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),mode,yes,yes,examples/by_plot_type/qq/data.csv,Q-Q plot (p-value / quantile),MISSING,MISSING
bland_altman_plot,Bland-Altman (method agreement),04_Relationships_and_Regression,method_a; method_b,label,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),show_ci,yes,yes,examples/by_plot_type/bland_altman/data.csv,Bland-Altman (method agreement),MISSING,MISSING
precision_recall_curve,Precision-recall curve,04_Relationships_and_Regression,label; score; score2,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),,yes,yes,examples/by_plot_type/precision_recall/data.csv,Precision-recall curve,MISSING,MISSING
confusion_matrix,Confusion matrix,04_Relationships_and_Regression,true; predicted,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),normalize,yes,yes,examples/by_plot_type/confusion_matrix/data.csv,Confusion matrix,MISSING,MISSING
calibration_plot,Calibration plot,04_Relationships_and_Regression,label; prob,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),n_bins,yes,yes,examples/by_plot_type/calibration/data.csv,Calibration plot,MISSING,MISSING
dose_response_curve,Dose-response curve,04_Relationships_and_Regression,dose; response; group,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),fit,yes,yes,examples/by_plot_type/dose_response/data.csv,Dose-response curve,MISSING,MISSING
upset_plot,UpSet plot (set intersections),08_Advanced_Plots,(chosen in Map columns),,one column per set (membership 0/1) or long membership table,,,,yes,yes,examples/by_plot_type/upset/data.csv,UpSet plot (set intersections),MISSING,MISSING
swimmer_plot,Swimmer plot,07_Survival_and_Effect_Plots,subject; start; end; event; group,duration,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),right_pad_frac,yes,yes,examples/by_plot_type/swimmer/data.csv,Swimmer plot,MISSING,MISSING
spider_plot,Spider plot (longitudinal change),07_Survival_and_Effect_Plots,subject; time; value; group,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),reference,yes,yes,examples/by_plot_type/spider/data.csv,Spider plot (longitudinal change),MISSING,MISSING
sankey_plot,Sankey / alluvial flow (two-stage),08_Advanced_Plots,source; target; value,,edge list: one row per link,,,,yes,yes,examples/by_plot_type/sankey/data.csv,Sankey / alluvial flow (two-stage),MISSING,MISSING
embedding_scatter,UMAP / t-SNE embedding scatter,05_Matrix_and_Omics,x; y; color,shape; label,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),,yes,yes,examples/by_plot_type/embedding/data.csv,UMAP / t-SNE embedding scatter,MISSING,MISSING
hierarchical_clustering,Hierarchical clustering (heatmap + clusters),05_Matrix_and_Omics,row_id,,feature x sample matrix (one id column + numeric value columns),,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),cluster; k; scale; distance_metric; linkage_method; colormap; y_label_rotation; cluster_legend_title; show_dendrogram; max_features; colorbar_location; colorbar_pad; colorbar_shrink; row_label_fontsiz,yes,yes,examples/by_plot_type/hier_clustering/data.csv,Hierarchical clustering (heatmap + clusters),MISSING,MISSING
network_graph,Network graph,08_Advanced_Plots,source; target; weight,interaction_type,edge list: one row per link,,,layout; seed; color_by; node_color; node_cmap; size_by; node_size; edge_color_by; edge_color; edge_color_positive; edge_color_negative; edge_width_by; edge_width; node_labels; label_color; label_font_,yes,yes,examples/by_plot_type/network/data.csv,Network graph,MISSING,MISSING
chord_diagram,Circos-style chord diagram,08_Advanced_Plots,source; target; value; group,,edge list: one row per link,,,segment_order; gap_degrees; start_angle; ribbon_color_by; ribbon_alpha; min_value; directed; draw_self_links; show_labels; label_placement; show_ticks; show_legend,yes,yes,examples/by_plot_type/chord_diagram/data.csv,Circos-style chord diagram,MISSING,MISSING
